year,imd10,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2001,1,m,359,30,25,12,11,9,6,8,5,5,5,8,11,17,13,5,11,24,45,43,40,38,47,48,52,46,39,62,56,82,66,72,66,86,111,97,85,86,104,108,118,135,121,135,132,149,142,171,166,241,207,215,262,267,330,234,282,331,358,339,364,438,481,527,499,506,606,654,661,723,791,794,853,910,931
2001,2,m,292,14,8,9,10,5,3,7,6,4,3,4,11,10,11,15,14,29,34,29,39,34,26,20,43,39,43,53,45,44,34,63,64,69,76,68,69,80,104,77,83,74,96,98,91,122,116,144,150,171,166,194,179,240,247,255,243,269,269,304,321,326,366,376,416,489,481,533,579,582,647,724,713,766,822
2001,3,m,198,18,10,2,6,7,4,3,3,1,11,7,7,8,7,12,13,26,17,31,24,19,32,26,29,29,33,37,37,45,49,47,52,55,65,59,67,60,56,76,77,73,70,68,91,98,94,109,143,122,130,155,175,169,237,209,233,232,253,239,278,307,367,371,414,420,434,451,515,566,629,631,719,696,814
2001,4,m,169,12,6,10,6,6,6,1,2,1,5,6,6,8,9,5,11,18,21,31,20,20,23,20,25,28,23,31,37,47,40,46,40,47,43,53,37,54,54,71,68,61,75,71,70,69,98,92,107,120,130,136,151,171,210,184,208,238,247,245,245,286,316,349,332,406,417,441,454,562,566,667,656,695,751
2001,5,m,118,11,6,2,5,5,6,4,2,1,5,5,11,9,4,11,11,11,29,18,21,16,25,20,28,30,26,31,26,38,34,41,38,43,35,38,46,41,58,55,69,42,50,80,73,67,75,82,90,107,108,120,159,163,206,189,185,208,218,248,226,281,295,339,349,354,400,441,445,499,575,584,623,745,778
2001,6,m,123,7,5,3,1,3,1,1,6,3,1,4,3,3,4,10,11,10,28,20,20,23,19,22,21,19,26,19,19,24,31,39,33,46,39,38,45,31,38,43,47,49,60,64,62,66,75,89,73,75,98,129,136,155,183,164,190,212,217,178,223,261,263,296,313,336,394,389,450,517,515,615,594,685,731
2001,7,m,137,6,2,7,4,1,4,6,4,3,5,3,3,3,7,6,11,16,22,25,20,22,15,23,20,21,31,21,24,23,32,31,30,38,41,20,43,41,39,40,34,40,54,35,48,63,60,80,86,106,83,106,113,166,171,186,192,195,190,227,217,236,294,282,307,318,346,404,391,482,499,554,620,574,659
2001,8,m,100,8,3,1,4,1,4,5,0,2,3,2,3,2,9,5,11,17,18,14,17,19,15,17,24,17,13,11,20,26,24,21,23,27,34,30,19,29,31,43,39,42,46,43,49,54,66,73,75,76,89,99,122,134,170,142,181,198,212,202,183,232,245,250,299,310,347,360,380,423,481,561,591,560,624
2001,9,m,112,12,7,4,1,2,5,4,3,4,9,3,3,4,5,4,6,5,11,18,9,20,13,10,13,17,15,17,18,17,15,16,25,24,21,25,31,42,38,36,33,28,35,46,50,48,62,45,57,72,84,106,117,125,166,162,159,157,222,178,188,212,232,268,282,284,309,310,354,438,476,508,543,528,602
2001,10,m,98,8,8,3,2,1,3,3,6,0,3,4,4,2,8,6,6,18,22,24,20,7,14,7,13,14,12,14,9,19,11,15,17,15,32,15,25,28,23,28,32,33,38,42,35,40,53,53,67,62,74,88,108,127,140,109,159,166,155,157,146,193,222,212,242,270,269,314,337,356,424,422,472,529,553
