year,imd10,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2001,1,m,37667,38720,38911,39390,40436,39356,39236,39775,40184,41232,41266,40255,39360,39689,38664,38531,38371,35287,33763,33338,34382,34805,33310,31667,31311,33160,33797,34756,36934,38351,39479,39136,39642,39143,39493,38142,37724,36419,35623,34288,32937,31831,30883,30295,29788,28403,27330,27394,27035,26701,26413,26530,26750,28072,29032,23708,22757,22564,22475,21357,20683,21656,21947,21870,21383,20627,19644,18742,18435,18273,17823,17182,16214,15417,15076
2001,2,m,33329,34188,35017,35567,36092,35628,35241,35783,36478,37008,37624,36582,35995,36090,35178,34684,34872,33003,31694,32380,34790,35074,33450,32284,32771,35125,36455,37199,39395,40766,41967,41472,41906,41707,42418,40599,39884,38894,37747,36061,34571,32949,32200,31476,29887,28217,27357,27264,26705,26202,26012,26188,26553,28175,29296,23593,23057,22332,21985,20670,19800,20640,20787,20653,20045,19518,18672,17906,17367,17514,17314,16790,15911,15207,15057
2001,3,m,30307,30727,31368,31781,32603,32518,32049,32742,33209,34007,34307,33673,33021,33554,32728,32006,32678,30880,30240,31409,34844,35825,34891,33209,33532,35771,37545,38826,40659,42299,42768,41885,42047,42147,42838,41575,40281,39426,38329,36692,35344,34005,32685,31959,30658,29198,28419,28146,27903,27549,27450,27592,28322,29567,31023,25305,24705,23945,23263,21195,20293,21381,21593,21146,20521,20069,19249,18448,17909,17891,17900,17194,16158,15589,15064
2001,4,m,28000,28422,29206,29374,30192,29869,30168,30785,30949,31919,32585,32154,31831,32021,31070,30870,30947,29476,29696,31661,35276,36050,33937,32095,32848,34631,36375,37321,39826,41642,42040,41088,41381,41466,41896,41261,40798,39706,38181,36973,35758,34334,33587,32948,31685,30688,29456,29652,29445,28566,28956,29870,30215,32548,34001,27934,27104,26565,25679,23344,21941,23049,22689,22733,22136,21007,20354,19382,19315,19113,18754,18028,17277,16337,15853
2001,5,m,26758,27197,27803,28328,29217,28770,29009,29928,30187,31167,31856,31200,30905,31354,30881,30271,30517,29689,29318,28823,31236,31655,30700,29637,30277,31692,33205,34810,37003,38404,39328,38937,39326,39428,40232,40133,39586,39414,38735,37134,36264,35055,34142,33908,32672,31566,30456,30617,30245,30145,30240,31247,32603,35212,37054,30373,29503,29112,27569,24782,23385,24246,24240,24068,23580,22494,21806,20710,20492,20336,19987,18922,18217,17177,16869
2001,6,m,26036,27036,27616,27731,28615,28510,28904,29214,29585,30575,31500,31014,30513,30949,30200,29695,30160,29105,28670,27640,29070,29483,29106,28687,28843,30122,31896,32997,35136,37397,38153,37877,38649,38891,40018,40044,40264,39821,38991,37672,36759,35673,34925,34535,33551,32384,31622,31949,31668,31259,31630,32538,34376,37075,39163,31881,31332,30795,29330,26287,24166,25196,25115,24985,24408,23365,22602,21262,20996,21052,20489,19751,18751,17943,17079
2001,7,m,25701,26451,27039,27701,28350,28361,28566,29473,29625,30515,31157,31109,30702,31300,30769,30358,30924,30235,29601,29021,29668,29022,27706,26443,26778,28146,29643,30659,33359,35081,36202,35837,36949,37475,38887,39352,40003,39495,38602,38155,37256,35922,35561,35303,34226,33203,32626,32963,32821,32553,32803,34215,35712,38629,41125,33590,32788,32057,30284,26852,24843,25697,25994,25531,24737,23729,23161,21778,21407,21452,20946,19842,18871,17997,17259
2001,8,m,25360,26367,27239,27376,27860,28084,28295,29178,29491,30879,31246,30554,30671,31588,30224,30320,30882,30469,29369,27608,27694,27927,27347,26071,26244,26916,28589,29767,31968,34014,34945,34942,36536,37366,38555,39216,39600,39357,38915,38132,38070,36469,35807,35491,34332,33318,32721,33199,33042,32816,33013,34459,36204,39216,41898,33936,33363,32559,30570,27064,25018,25842,25724,25097,24340,23597,22788,21632,21190,20867,20567,19504,18463,17420,16884
2001,9,m,25695,26914,27892,28284,29304,29106,29614,30159,30713,32044,32560,32451,32069,32292,31564,31236,31934,31910,30974,29194,27268,26044,25947,24906,24965,25325,26575,27413,29605,31816,33275,33905,35306,36349,37895,39065,39984,40211,39987,39262,38623,37486,37077,36891,35795,34558,33920,34342,34007,33830,34079,35331,36814,40047,43081,34720,34232,33247,31229,26957,25026,25711,25513,25281,24691,23841,22970,21663,21369,21046,20422,19694,18525,17530,16930
2001,10,m,25869,27128,28549,29684,30324,30729,31420,32498,32660,33600,34557,34220,33937,34336,33005,32848,33046,32502,30382,25979,23518,23238,23466,23026,22005,21455,21863,23243,24507,26896,28538,29376,31894,33378,35365,37006,38749,39731,40123,40202,39922,38945,38776,38374,37372,36646,35880,35958,35476,35314,35568,36873,38362,42065,44961,36209,35577,34386,31884,27299,24774,25877,25897,25820,24561,23802,22997,22029,21452,21040,20756,19714,18813,17317,16734
